obtv-admin@tustin-obviu2:~/obview$ docker compose logs | grep ERROR
obview_db   | 2026-08-16 05:02:59.140 UTC [61] ERROR:  relation "api_sessions_token_hash_key" already exists
obview_db   | 2026-08-16 05:02:59.141 UTC [61] ERROR:  multiple primary keys for table "approvals" are not allowed
obview_db   | 2026-08-16 05:02:59.141 UTC [61] ERROR:  multiple primary keys for table "comment_reactions" are not allowed
obview_db   | 2026-08-16 05:02:59.141 UTC [61] ERROR:  multiple primary keys for table "comments" are not allowed
obview_db   | 2026-08-16 05:02:59.141 UTC [61] ERROR:  multiple primary keys for table "comments_unified" are not allowed
obview_db   | 2026-08-16 05:02:59.142 UTC [61] ERROR:  multiple primary keys for table "files" are not allowed
obview_db   | 2026-08-16 05:02:59.142 UTC [61] ERROR:  multiple primary keys for table "folders" are not allowed
obview_db   | 2026-08-16 05:02:59.142 UTC [61] ERROR:  multiple primary keys for table "invitations" are not allowed
obview_db   | 2026-08-16 05:02:59.145 UTC [61] ERROR:  multiple primary keys for table "password_resets" are not allowed
obview_db   | 2026-08-16 05:02:59.145 UTC [61] ERROR:  relation "password_resets_token_key" already exists
obview_db   | 2026-08-16 05:02:59.146 UTC [61] ERROR:  multiple primary keys for table "pg_session" are not allowed
obview_db   | 2026-08-16 05:02:59.146 UTC [61] ERROR:  multiple primary keys for table "project_users" are not allowed
obview_db   | 2026-08-16 05:02:59.146 UTC [61] ERROR:  relation "project_users_project_id_user_id_unique" already exists
obview_db   | 2026-08-16 05:02:59.146 UTC [61] ERROR:  multiple primary keys for table "projects" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "public_comments" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "qc_reports" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "recent_projects" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "schema_migrations" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "session" are not allowed
obview_db   | 2026-08-16 05:02:59.147 UTC [61] ERROR:  multiple primary keys for table "share_links" are not allowed
obview_db   | 2026-08-16 05:02:59.148 UTC [61] ERROR:  relation "share_links_token_key" already exists
obview_db   | 2026-08-16 05:02:59.148 UTC [61] ERROR:  multiple primary keys for table "transcripts" are not allowed
obview_db   | 2026-08-16 05:02:59.150 UTC [61] ERROR:  multiple primary keys for table "users" are not allowed
obview_db   | 2026-08-16 05:02:59.152 UTC [61] ERROR:  multiple primary keys for table "video_processing" are not allowed
obview_db   | 2026-08-16 05:02:59.152 UTC [61] ERROR:  relation "IDX_password_resets_token" already exists
obview_db   | 2026-08-16 05:02:59.152 UTC [61] ERROR:  relation "IDX_password_resets_user_id" already exists
obview_db   | 2026-08-16 05:02:59.153 UTC [61] ERROR:  relation "IDX_pg_session_expire" already exists
obview_db   | 2026-08-16 05:02:59.153 UTC [61] ERROR:  relation "IDX_session_expire" already exists
obview_db   | 2026-08-16 05:02:59.153 UTC [61] ERROR:  relation "idx_activity_logs_entity_type_id" already exists
obview_db   | 2026-08-16 05:02:59.153 UTC [61] ERROR:  relation "idx_activity_logs_user_id" already exists
obview_db   | 2026-08-16 05:02:59.154 UTC [61] ERROR:  relation "idx_approvals_file_id" already exists
obview_db   | 2026-08-16 05:02:59.154 UTC [61] ERROR:  relation "idx_comment_reactions_comment_id" already exists
obview_db   | 2026-08-16 05:02:59.154 UTC [61] ERROR:  relation "idx_comment_reactions_comment_reaction" already exists
