obview_db   | 2026-08-12 17:27:04.861 UTC [27] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.408 s, sync=0.001 s, total=1.410 s; sync files=11, longest=0.001 s, average=0.001 s; distance=84 kB, estimate=343 kB; lsn=0/91645488, redo lsn=0/91645450
obview_db   | 2026-08-12 17:32:03.961 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:32:05.168 UTC [27] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.205 s, sync=0.001 s, total=1.207 s; sync files=10, longest=0.001 s, average=0.001 s; distance=79 kB, estimate=317 kB; lsn=0/916592F0, redo lsn=0/916592B8
obview_db   | 2026-08-12 17:37:03.268 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:37:04.475 UTC [27] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.205 s, sync=0.001 s, total=1.208 s; sync files=10, longest=0.001 s, average=0.001 s; distance=78 kB, estimate=293 kB; lsn=0/9166CEE0, redo lsn=0/9166CEA8
obview_db   | 2026-08-12 17:42:03.575 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:42:04.883 UTC [27] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.305 s, sync=0.001 s, total=1.308 s; sync files=10, longest=0.001 s, average=0.001 s; distance=68 kB, estimate=271 kB; lsn=0/9167E140, redo lsn=0/9167E108
obview_db   | 2026-08-12 17:47:03.983 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:47:05.491 UTC [27] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.506 s, sync=0.001 s, total=1.508 s; sync files=11, longest=0.001 s, average=0.001 s; distance=93 kB, estimate=253 kB; lsn=0/91695750, redo lsn=0/91695718
obview_db   | 2026-08-12 17:52:03.591 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:52:05.099 UTC [27] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.506 s, sync=0.001 s, total=1.508 s; sync files=11, longest=0.001 s, average=0.001 s; distance=96 kB, estimate=237 kB; lsn=0/916ADB40, redo lsn=0/916ADB08
obview_db   | 2026-08-12 17:57:03.199 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 17:57:03.503 UTC [27] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.302 s, sync=0.001 s, total=0.305 s; sync files=4, longest=0.001 s, average=0.001 s; distance=17 kB, estimate=215 kB; lsn=0/916B2120, redo lsn=0/916B20E8
obview_db   | 2026-08-12 18:02:03.603 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:02:19.651 UTC [27] LOG:  checkpoint complete: wrote 162 buffers (1.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=16.042 s, sync=0.003 s, total=16.048 s; sync files=58, longest=0.002 s, average=0.001 s; distance=986 kB, estimate=986 kB; lsn=0/917AFAA0, redo lsn=0/917A8B80
obview_db   | 2026-08-12 18:07:03.751 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:07:11.982 UTC [27] LOG:  checkpoint complete: wrote 83 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.228 s, sync=0.001 s, total=8.231 s; sync files=60, longest=0.001 s, average=0.001 s; distance=501 kB, estimate=938 kB; lsn=0/9182A4C8, redo lsn=0/91826130
obview_db   | 2026-08-12 18:12:04.082 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:12:06.694 UTC [27] LOG:  checkpoint complete: wrote 27 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.609 s, sync=0.001 s, total=2.612 s; sync files=19, longest=0.001 s, average=0.001 s; distance=143 kB, estimate=858 kB; lsn=0/91849D88, redo lsn=0/91849D50
obview_db   | 2026-08-12 18:17:04.794 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:17:06.805 UTC [27] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.007 s, sync=0.003 s, total=2.012 s; sync files=13, longest=0.003 s, average=0.001 s; distance=137 kB, estimate=786 kB; lsn=0/9186C570, redo lsn=0/9186C538
obview_db   | 2026-08-12 18:22:04.815 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:22:06.523 UTC [27] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.706 s, sync=0.001 s, total=1.709 s; sync files=12, longest=0.001 s, average=0.001 s; distance=107 kB, estimate=718 kB; lsn=0/91887380, redo lsn=0/91887348
obview_db   | 2026-08-12 18:27:04.622 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:27:10.746 UTC [27] LOG:  checkpoint complete: wrote 62 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.120 s, sync=0.002 s, total=6.124 s; sync files=44, longest=0.001 s, average=0.001 s; distance=405 kB, estimate=687 kB; lsn=0/91926FC0, redo lsn=0/918EC778
obview_db   | 2026-08-12 18:32:04.846 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:32:33.030 UTC [27] LOG:  checkpoint complete: wrote 282 buffers (1.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=28.180 s, sync=0.001 s, total=28.184 s; sync files=65, longest=0.001 s, average=0.001 s; distance=1649 kB, estimate=1649 kB; lsn=0/91A8E5A8, redo lsn=0/91A88E50
obview_db   | 2026-08-12 18:37:04.130 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:37:07.143 UTC [27] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.010 s, sync=0.001 s, total=3.013 s; sync files=22, longest=0.001 s, average=0.001 s; distance=165 kB, estimate=1501 kB; lsn=0/91AB2648, redo lsn=0/91AB2610
obview_db   | 2026-08-12 18:42:04.217 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:42:06.329 UTC [27] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.110 s, sync=0.001 s, total=2.113 s; sync files=13, longest=0.001 s, average=0.001 s; distance=128 kB, estimate=1364 kB; lsn=0/91AD26E8, redo lsn=0/91AD26B0
obview_db   | 2026-08-12 18:47:04.429 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:47:06.138 UTC [27] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.706 s, sync=0.001 s, total=1.709 s; sync files=13, longest=0.001 s, average=0.001 s; distance=120 kB, estimate=1239 kB; lsn=0/91AF4610, redo lsn=0/91AF06F8
obview_db   | 2026-08-12 18:52:04.215 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:52:06.425 UTC [27] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.208 s, sync=0.001 s, total=2.211 s; sync files=12, longest=0.001 s, average=0.001 s; distance=170 kB, estimate=1132 kB; lsn=0/91B1FD20, redo lsn=0/91B1AFC0
obview_db   | 2026-08-12 18:57:04.526 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 18:57:09.345 UTC [27] LOG:  checkpoint complete: wrote 50 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.817 s, sync=0.001 s, total=4.820 s; sync files=25, longest=0.001 s, average=0.001 s; distance=334 kB, estimate=1052 kB; lsn=0/91B78340, redo lsn=0/91B6EA28
obview_db   | 2026-08-12 19:02:04.445 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:02:11.971 UTC [27] LOG:  checkpoint complete: wrote 76 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.523 s, sync=0.001 s, total=7.526 s; sync files=56, longest=0.001 s, average=0.001 s; distance=447 kB, estimate=992 kB; lsn=0/91BDE960, redo lsn=0/91BDE928
obview_db   | 2026-08-12 19:07:05.038 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:07:06.647 UTC [27] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.606 s, sync=0.001 s, total=1.609 s; sync files=14, longest=0.001 s, average=0.001 s; distance=79 kB, estimate=901 kB; lsn=0/91BF2798, redo lsn=0/91BF2760
obview_db   | 2026-08-12 19:12:05.747 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:12:07.657 UTC [27] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.907 s, sync=0.001 s, total=1.910 s; sync files=14, longest=0.001 s, average=0.001 s; distance=110 kB, estimate=822 kB; lsn=0/91C0E198, redo lsn=0/91C0E160
obview_db   | 2026-08-12 19:17:05.757 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:17:16.390 UTC [27] LOG:  checkpoint complete: wrote 107 buffers (0.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=10.631 s, sync=0.001 s, total=10.634 s; sync files=55, longest=0.001 s, average=0.001 s; distance=524 kB, estimate=792 kB; lsn=0/91C94CE8, redo lsn=0/91C913D0
obview_db   | 2026-08-12 19:22:05.478 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:22:08.792 UTC [27] LOG:  checkpoint complete: wrote 34 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.311 s, sync=0.001 s, total=3.314 s; sync files=25, longest=0.001 s, average=0.001 s; distance=219 kB, estimate=734 kB; lsn=0/91CCB5A0, redo lsn=0/91CC8118
obview_db   | 2026-08-12 19:27:05.892 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:27:07.301 UTC [27] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.405 s, sync=0.001 s, total=1.409 s; sync files=10, longest=0.001 s, average=0.001 s; distance=89 kB, estimate=670 kB; lsn=0/91CE1AE8, redo lsn=0/91CDE7B8
obview_db   | 2026-08-12 19:32:05.401 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:32:07.410 UTC [27] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.007 s, sync=0.001 s, total=2.010 s; sync files=13, longest=0.001 s, average=0.001 s; distance=172 kB, estimate=620 kB; lsn=0/91D0EF28, redo lsn=0/91D09B20
obview_db   | 2026-08-12 19:37:05.478 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:37:12.605 UTC [27] LOG:  checkpoint complete: wrote 72 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.124 s, sync=0.001 s, total=7.127 s; sync files=53, longest=0.001 s, average=0.001 s; distance=497 kB, estimate=608 kB; lsn=0/91D89BB0, redo lsn=0/91D862A8
obview_db   | 2026-08-12 19:42:05.622 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:42:07.532 UTC [27] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.907 s, sync=0.001 s, total=1.911 s; sync files=16, longest=0.001 s, average=0.001 s; distance=131 kB, estimate=560 kB; lsn=0/91DAA208, redo lsn=0/91DA6EC0
obview_db   | 2026-08-12 19:47:05.633 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:47:13.464 UTC [27] LOG:  checkpoint complete: wrote 80 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.828 s, sync=0.001 s, total=7.832 s; sync files=53, longest=0.001 s, average=0.001 s; distance=558 kB, estimate=560 kB; lsn=0/91E38978, redo lsn=0/91E329E0
obview_db   | 2026-08-12 19:52:05.565 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:52:19.921 UTC [27] LOG:  checkpoint complete: wrote 144 buffers (0.9%); 0 WAL file(s) added, 0 removed, 0 recycled; write=14.353 s, sync=0.002 s, total=14.357 s; sync files=60, longest=0.001 s, average=0.001 s; distance=1014 kB, estimate=1014 kB; lsn=0/91F37708, redo lsn=0/91F30538
obview_db   | 2026-08-12 19:57:05.928 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 19:57:11.047 UTC [27] LOG:  checkpoint complete: wrote 52 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.117 s, sync=0.001 s, total=5.120 s; sync files=27, longest=0.001 s, average=0.001 s; distance=379 kB, estimate=951 kB; lsn=0/91F96FA0, redo lsn=0/91F8F288
obview_db   | 2026-08-12 20:02:05.147 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:02:07.962 UTC [27] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.812 s, sync=0.001 s, total=2.815 s; sync files=17, longest=0.001 s, average=0.001 s; distance=294 kB, estimate=885 kB; lsn=0/91FE2130, redo lsn=0/91FD8C50
obview_db   | 2026-08-12 20:07:06.062 UTC [27] LOG:  checkpoint starting: time
